Episode,ep_step,ep_rewards
0,511,180.0
1,357,180.0
2,537,210.0
3,495,260.0
4,463,230.0
5,473,250.0
6,487,190.0
7,469,180.0
8,531,170.0
9,477,270.0
10,493,180.0
11,369,140.0
12,491,200.0
13,449,170.0
14,425,190.0
15,443,150.0
16,547,310.0
17,401,220.0
18,541,380.0
19,485,280.0
20,429,230.0
21,399,140.0
22,483,190.0
23,619,440.0
24,411,200.0
25,529,220.0
26,521,220.0
27,455,200.0
28,555,300.0
29,417,160.0
30,509,270.0
31,437,220.0
32,531,160.0
33,429,190.0
34,447,200.0
35,509,240.0
36,493,240.0
37,393,160.0
38,477,260.0
39,649,430.0
40,623,320.0
41,415,220.0
42,485,270.0
43,495,270.0
44,501,380.0
45,553,280.0
46,537,360.0
47,627,380.0
48,521,290.0
49,687,430.0
50,557,210.0
51,455,190.0
52,581,280.0
53,343,220.0
54,495,290.0
55,679,260.0
56,525,350.0
57,537,310.0
58,451,250.0
59,485,250.0
60,411,170.0
61,681,460.0
62,465,270.0
63,457,210.0
64,467,190.0
65,481,260.0
66,489,180.0
67,901,600.0
68,371,150.0
69,485,270.0
70,473,240.0
71,813,500.0
72,469,200.0
73,369,200.0
74,361,120.0
75,533,190.0
76,729,470.0
77,421,250.0
78,693,380.0
79,461,190.0
80,469,330.0
81,573,370.0
82,349,200.0
83,535,270.0
84,405,180.0
85,517,300.0
86,397,300.0
87,533,260.0
88,549,310.0
89,425,200.0
90,1000,740.0
91,505,210.0
92,527,290.0
93,661,360.0
94,463,220.0
95,377,140.0
96,455,210.0
97,671,1130.0
98,579,430.0
99,501,290.0
100,411,200.0
101,555,300.0
102,399,180.0
103,453,230.0
104,761,500.0
105,679,470.0
106,671,1020.0
107,691,330.0
108,483,350.0
109,775,430.0
110,599,240.0
111,471,280.0
112,477,210.0
113,651,690.0
114,513,260.0
115,507,310.0
116,439,320.0
117,497,250.0
118,395,170.0
119,547,330.0
120,433,340.0
121,603,350.0
122,465,280.0
123,409,160.0
124,525,310.0
125,513,340.0
126,497,260.0
127,369,220.0
128,561,270.0
129,681,790.0
130,583,450.0
131,575,450.0
132,539,320.0
133,467,180.0
134,453,320.0
135,497,280.0
136,971,690.0
137,669,590.0
138,419,310.0
139,519,300.0
140,511,240.0
141,951,460.0
142,515,280.0
143,555,310.0
144,593,390.0
145,603,510.0
146,465,420.0
147,583,370.0
148,521,370.0
149,819,670.0
150,623,390.0
151,881,700.0
152,569,390.0
153,599,980.0
154,657,420.0
155,709,400.0
156,755,1320.0
157,419,180.0
158,435,230.0
159,459,250.0
160,513,410.0
161,551,450.0
162,541,320.0
163,519,190.0
164,355,200.0
165,477,290.0
166,523,340.0
167,495,200.0
168,639,360.0
169,379,250.0
170,505,290.0
171,543,290.0
172,531,270.0
173,569,250.0
174,575,300.0
175,551,320.0
176,561,300.0
177,439,280.0
178,433,300.0
179,393,200.0
180,505,320.0
181,661,480.0
182,521,400.0
183,343,120.0
184,541,490.0
185,455,160.0
186,757,860.0
187,611,380.0
188,537,280.0
189,433,300.0
190,705,840.0
191,417,200.0
192,471,270.0
193,471,340.0
194,401,340.0
195,531,350.0
196,431,310.0
197,509,390.0
198,453,360.0
199,509,480.0
200,661,420.0
201,381,190.0
202,479,240.0
203,429,220.0
204,605,370.0
205,583,620.0
206,461,440.0
207,443,380.0
208,341,250.0
209,737,790.0
210,537,300.0
211,441,320.0
212,367,270.0
213,965,1410.0
214,445,240.0
215,479,280.0
216,539,330.0
217,467,370.0
218,457,350.0
219,455,260.0
220,647,620.0
221,511,390.0
222,467,380.0
223,445,260.0
224,457,260.0
225,701,700.0
226,431,330.0
227,647,600.0
228,469,290.0
229,449,390.0
230,519,290.0
231,411,400.0
232,627,530.0
233,649,440.0
234,491,400.0
235,641,380.0
236,795,760.0
237,791,820.0
238,735,660.0
239,467,220.0
240,565,540.0
241,491,330.0
242,515,380.0
243,575,370.0
244,529,360.0
245,697,430.0
246,577,380.0
247,605,390.0
248,441,200.0
249,503,280.0
